X,subject,age,soa.mr,mr,cond.mr,soa.rt,rt,cond.rt,game.hr,drive.hr,computer.hr
447,37,19,MR5,0,Comb,RT5,551.0733333,Comb,2,2,5
529,37,19,MR6,0.03,Vis,RT6,556.637931,Vis,2,2,5
38,38,49,MR0,0.63,Vest,RT0,1135.581818,Vest,1,2,4
120,38,49,MR1,0,Comb,RT1,839.6866667,Comb,1,2,4
202,38,49,MR2,0,Comb,RT2,849.84,Comb,1,2,4
284,38,49,MR3,0.07,Comb,RT3,800.7678571,Comb,1,2,4
366,38,49,MR4,0,Comb,RT4,788.6033333,Comb,1,2,4
448,38,49,MR5,0.03,Comb,RT5,814.1310345,Comb,1,2,4
530,38,49,MR6,0,Vis,RT6,910.2333333,Vis,1,2,4
39,39,49,MR0,0.73,Vest,RT0,1142.5625,Vest,2,4,4
121,39,49,MR1,0,Comb,RT1,727.34,Comb,2,4,4
203,39,49,MR2,0,Comb,RT2,683.9,Comb,2,4,4
285,39,49,MR3,0,Comb,RT3,673.2666667,Comb,2,4,4
367,39,49,MR4,0,Comb,RT4,659.72,Comb,2,4,4
449,39,49,MR5,0,Comb,RT5,671.3733333,Comb,2,4,4
531,39,49,MR6,0.03,Vis,RT6,797.7586207,Vis,2,4,4
40,40,59,MR0,0.7,Vest,RT0,1142.633333,Vest,1,3,3
122,40,59,MR1,0,Comb,RT1,648.16,Comb,1,3,3
204,40,59,MR2,0,Comb,RT2,631.48,Comb,1,3,3
286,40,59,MR3,0,Comb,RT3,606.48,Comb,1,3,3
368,40,59,MR4,0,Comb,RT4,617.09,Comb,1,3,3
450,40,59,MR5,0,Comb,RT5,644.3033333,Comb,1,3,3
532,40,59,MR6,0,Vis,RT6,727.4466667,Vis,1,3,3
41,41,39,MR0,0.17,Vest,RT0,1103.448,Vest,3,3,5
123,41,39,MR1,0,Comb,RT1,725.3433333,Comb,3,3,5
205,41,39,MR2,0,Comb,RT2,651.4666667,Comb,3,3,5
287,41,39,MR3,0,Comb,RT3,637.9466667,Comb,3,3,5
369,41,39,MR4,0,Comb,RT4,637.9533333,Comb,3,3,5
451,41,39,MR5,0,Comb,RT5,615.4733333,Comb,3,3,5
533,41,39,MR6,0,Vis,RT6,738.2433333,Vis,3,3,5
42,42,38,MR0,0.97,Vest,RT0,981.3,Vest,1,3,5
124,42,38,MR1,0.07,Comb,RT1,739.3321429,Comb,1,3,5
206,42,38,MR2,0,Comb,RT2,708.88,Comb,1,3,5
288,42,38,MR3,0,Comb,RT3,667.3533333,Comb,1,3,5
370,42,38,MR4,0,Comb,RT4,686.97,Comb,1,3,5
452,42,38,MR5,0,Comb,RT5,702.09,Comb,1,3,5
534,42,38,MR6,0,Vis,RT6,764.67,Vis,1,3,5
43,43,79,MR0,0.87,Vest,RT0,2025.775,Vest,4,3,3
125,43,79,MR1,0,Comb,RT1,864.9666667,Comb,4,3,3
207,43,79,MR2,0.03,Comb,RT2,831.5344828,Comb,4,3,3
289,43,79,MR3,0,Comb,RT3,758.7133333,Comb,4,3,3
371,43,79,MR4,0,Comb,RT4,846.3966667,Comb,4,3,3
453,43,79,MR5,0,Comb,RT5,813.7733333,Comb,4,3,3
535,43,79,MR6,0.07,Vis,RT6,904.7428571,Vis,4,3,3
44,44,58,MR0,0.7,Vest,RT0,1216.411111,Vest,1,4,2
126,44,58,MR1,0.03,Comb,RT1,748.0310345,Comb,1,4,2
208,44,58,MR2,0.1,Comb,RT2,752.8481481,Comb,1,4,2
290,44,58,MR3,0,Comb,RT3,730.9833333,Comb,1,4,2
372,44,58,MR4,0.1,Comb,RT4,759.9777778,Comb,1,4,2
454,44,58,MR5,0.07,Comb,RT5,723.2821429,Comb,1,4,2
536,44,58,MR6,0.03,Vis,RT6,796.9206897,Vis,1,4,2
45,45,40,MR0,0.03,Vest,RT0,854.3827586,Vest,3,5,3
127,45,40,MR1,0.03,Comb,RT1,555.7448276,Comb,3,5,3
209,45,40,MR2,0,Comb,RT2,714.86,Comb,3,5,3
291,45,40,MR3,0,Comb,RT3,588.73,Comb,3,5,3
373,45,40,MR4,0,Comb,RT4,520.27,Comb,3,5,3
455,45,40,MR5,0,Comb,RT5,559.78,Comb,3,5,3
537,45,40,MR6,0,Vis,RT6,642.7633333,Vis,3,5,3
46,46,35,MR0,0.9,Vest,RT0,1487.8,Vest,3,4,3
128,46,35,MR1,0,Comb,RT1,779.7266667,Comb,3,4,3
210,46,35,MR2,0.03,Comb,RT2,749.4482759,Comb,3,4,3
292,46,35,MR3,0,Comb,RT3,663.8633333,Comb,3,4,3
374,46,35,MR4,0,Comb,RT4,681.46,Comb,3,4,3
456,46,35,MR5,0,Comb,RT5,710.2033333,Comb,3,4,3
538,46,35,MR6,0,Vis,RT6,771.44,Vis,3,4,3
47,47,49,MR0,0.93,Vest,RT0,791.15,Vest,1,4,4
129,47,49,MR1,0,Comb,RT1,584.0466667,Comb,1,4,4
211,47,49,MR2,0,Comb,RT2,573.5433333,Comb,1,4,4
293,47,49,MR3,0,Comb,RT3,528.6133333,Comb,1,4,4
375,47,49,MR4,0,Comb,RT4,522.0733333,Comb,1,4,4
457,47,49,MR5,0,Comb,RT5,531.5966667,Comb,1,4,4
539,47,49,MR6,0,Vis,RT6,590.5133333,Vis,1,4,4
48,48,39,MR0,0.03,Vest,RT0,1247.358621,Vest,1,5,5
130,48,39,MR1,0,Comb,RT1,833.6733333,Comb,1,5,5
212,48,39,MR2,0,Comb,RT2,802.0966667,Comb,1,5,5
294,48,39,MR3,0,Comb,RT3,780.9866667,Comb,1,5,5
376,48,39,MR4,0,Comb,RT4,805.4366667,Comb,1,5,5
458,48,39,MR5,0.03,Comb,RT5,898.1586207,Comb,1,5,5
540,48,39,MR6,0.03,Vis,RT6,898.9931034,Vis,1,5,5
49,49,36,MR0,0.83,Vest,RT0,1346.9,Vest,3,5,5
131,49,36,MR1,0.07,Comb,RT1,720.5821429,Comb,3,5,5
213,49,36,MR2,0.17,Comb,RT2,695.764,Comb,3,5,5
295,49,36,MR3,0.07,Comb,RT3,681.6642857,Comb,3,5,5
377,49,36,MR4,0.13,Comb,RT4,699.6423077,Comb,3,5,5
459,49,36,MR5,0.13,Comb,RT5,722.2692308,Comb,3,5,5
541,49,36,MR6,0.03,Vis,RT6,773.3931034,Vis,3,5,5
50,50,59,MR0,0.53,Vest,RT0,1859.8,Vest,1,4,3
132,50,59,MR1,0,Comb,RT1,1059.2,Comb,1,4,3
214,50,59,MR2,0,Comb,RT2,998.8266667,Comb,1,4,3
296,50,59,MR3,0,Comb,RT3,1032.313333,Comb,1,4,3
378,50,59,MR4,0,Comb,RT4,988.6333333,Comb,1,4,3
460,50,59,MR5,0,Comb,RT5,996.2033333,Comb,1,4,3
542,50,59,MR6,0,Vis,RT6,1061.14,Vis,1,4,3
51,51,56,MR0,1,Vest,RT0,,Vest,1,5,5
133,51,56,MR1,0,Comb,RT1,744.37,Comb,1,5,5
215,51,56,MR2,0,Comb,RT2,715.1366667,Comb,1,5,5
297,51,56,MR3,0,Comb,RT3,698.39,Comb,1,5,5
379,51,56,MR4,0,Comb,RT4,685.15,Comb,1,5,5
461,51,56,MR5,0,Comb,RT5,729.8633333,Comb,1,5,5
543,51,56,MR6,0,Vis,RT6,775.8,Vis,1,5,5
52,52,64,MR0,0.2,Vest,RT0,1278.4125,Vest,2,5,5
134,52,64,MR1,0.03,Comb,RT1,804.6896552,Comb,2,5,5
216,52,64,MR2,0,Comb,RT2,698.7266667,Comb,2,5,5
298,52,64,MR3,0,Comb,RT3,680.0066667,Comb,2,5,5
380,52,64,MR4,0,Comb,RT4,666.8533333,Comb,2,5,5
462,52,64,MR5,0,Comb,RT5,693.21,Comb,2,5,5
544,52,64,MR6,0,Vis,RT6,844.1233333,Vis,2,5,5
53,53,64,MR0,1,Vest,RT0,,Vest,1,3,3
135,53,64,MR1,0,Comb,RT1,818.9333333,Comb,1,3,3
217,53,64,MR2,0,Comb,RT2,799.0466667,Comb,1,3,3
299,53,64,MR3,0.03,Comb,RT3,746.5103448,Comb,1,3,3
381,53,64,MR4,0.03,Comb,RT4,790.7034483,Comb,1,3,3
463,53,64,MR5,0,Comb,RT5,767.1466667,Comb,1,3,3
545,53,64,MR6,0.1,Vis,RT6,889.7074074,Vis,1,3,3
54,54,35,MR0,0.2,Vest,RT0,1047.925,Vest,2,3,4
136,54,35,MR1,0,Comb,RT1,611.0633333,Comb,2,3,4
218,54,35,MR2,0,Comb,RT2,594.0633333,Comb,2,3,4
300,54,35,MR3,0,Comb,RT3,561.6466667,Comb,2,3,4
382,54,35,MR4,0,Comb,RT4,576.9233333,Comb,2,3,4
464,54,35,MR5,0,Comb,RT5,580.79,Comb,2,3,4
