sID,age,gender,cond,soa,rt,mr,rmv,mre,gameHr,driveHr,compHr,compensation
148,59,1,Vis,Inf,727.446666666667,0,NaN,NaN,1,3,3,Money
149,39,1,Ves,-Inf,1103.448,16.6666666666667,NaN,NaN,3,3,5,Money
149,39,1,Com,-100,725.343333333333,0,57.5333333333328,13.4686427568765,3,3,5,Money
149,39,1,Com,-50,651.466666666667,0,69.7199999999997,17.3520867075734,3,3,5,Money
149,39,1,Com,0,637.946666666667,0,55.4166666666663,13.5858547091519,3,3,5,Money
149,39,1,Com,50,637.953333333333,0,73.356666666666,13.584951664537,3,3,5,Money
149,39,1,Com,100,615.473333333333,0,93.5066666666646,16.6300181060445,3,3,5,Money
149,39,1,Vis,Inf,738.243333333333,0,NaN,NaN,3,3,5,Money
150,38,1,Ves,-Inf,981.3,96.6666666666667,NaN,NaN,1,3,5,Money
150,38,1,Com,-100,739.332142857143,6.66666666666667,96.3933333333331,8.38798829233662,1,3,5,Money
150,38,1,Com,-50,708.88,0,67.1666666666668,12.9856260817264,1,3,5,Money
150,38,1,Com,0,667.353333333333,0,64.2933333333337,12.7266228133269,1,3,5,Money
150,38,1,Com,50,686.97,0,70.053333333332,10.1612460276982,1,3,5,Money
150,38,1,Com,100,702.09,0,39.6666666666666,8.18392247636239,1,3,5,Money
150,38,1,Vis,Inf,764.67,0,NaN,NaN,1,3,5,Money
151,79,0,Ves,-Inf,2025.775,86.6666666666667,NaN,NaN,4,3,3,Money
151,79,0,Com,-100,864.966666666667,0,89.1833333333337,19.1141688454614,4,3,3,Money
151,79,0,Com,-50,831.53448275862,3.33333333333333,79.2299999999991,15.6135334140705,4,3,3,Money
151,79,0,Com,0,758.713333333333,0,102.550000000001,21.7310820578679,4,3,3,Money
151,79,0,Com,50,846.396666666667,0,56.7466666666663,12.6856635578293,4,3,3,Money
151,79,0,Com,100,813.773333333333,0,76.6966666666667,16.0510887948518,4,3,3,Money
151,79,0,Vis,Inf,904.742857142857,6.66666666666667,NaN,NaN,4,3,3,Money
152,58,0,Ves,-Inf,1216.41111111111,70,NaN,NaN,1,4,2,Money
152,58,0,Com,-100,748.031034482759,3.33333333333333,67.8466666666656,16.2889862764191,1,4,2,Money
152,58,0,Com,-50,752.848148148148,10,51.9233333333329,4.3347141038571,1,4,2,Money
152,58,0,Com,0,730.983333333333,0,37.4433333333332,11.3315501285359,1,4,2,Money
152,58,0,Com,50,759.977777777778,10,31.7999999999998,-2.4283142073699,1,4,2,Money
152,58,0,Com,100,723.282142857143,6.66666666666667,38.3966666666666,5.99897107912642,1,4,2,Money
